"File name (suggested)","Style","Type","Location"
"logo.png","Site","Logo","Header, footer, favicon, JSON-LD"
"hero-naruto.jpg","Naruto","After (placeholder tile)","Homepage hero"
"hero-one-piece.jpg","One Piece","After (placeholder tile)","Homepage hero"
"hero-rick-and-morty.jpg","Rick and Morty","After (placeholder tile)","Homepage hero"
"hero-the-simpsons.jpg","The Simpsons","After (placeholder tile)","Homepage hero"
"opengraph-image (auto-generated)","Site","OG image","Social shares"
"gallery-naruto.jpg","Naruto","After","Homepage gallery masonry"
"gallery-one-piece.jpg","One Piece","After","Homepage gallery masonry"
"gallery-one-piece-wanted-poster.jpg","Wanted Poster","After","Homepage gallery masonry"
"gallery-dragon-ball-z.jpg","Dragon Ball Z","After","Homepage gallery masonry"
"gallery-demon-slayer.jpg","Demon Slayer","After","Homepage gallery masonry"
"gallery-jujutsu-kaisen.jpg","Jujutsu Kaisen","After","Homepage gallery masonry"
"gallery-attack-on-titan.jpg","Attack on Titan","After","Homepage gallery masonry"
"gallery-ghibli-style.jpg","Ghibli Style","After","Homepage gallery masonry"
"gallery-pokemon.jpg","Pokemon","After","Homepage gallery masonry"
"gallery-pokemon-trading-card.jpg","Trading Card","After","Homepage gallery masonry"
"gallery-my-hero-academia.jpg","My Hero Academia","After","Homepage gallery masonry"
"gallery-bleach.jpg","Bleach","After","Homepage gallery masonry"
"gallery-death-note.jpg","Death Note","After","Homepage gallery masonry"
"gallery-hunter-x-hunter.jpg","Hunter x Hunter","After","Homepage gallery masonry"
"gallery-chainsaw-man.jpg","Chainsaw Man","After","Homepage gallery masonry"
"gallery-spy-x-family.jpg","Spy x Family","After","Homepage gallery masonry"
"naruto-primary-before.jpg","Naruto","Before","Product page slider + style card"
"naruto-primary-after.jpg","Naruto","After","Product page slider + style card"
"naruto-example-1-before.jpg","Naruto","Before","Product page thumbnails"
"naruto-example-1-after.jpg","Naruto","After","Product page thumbnails"
"naruto-example-2-before.jpg","Naruto","Before","Product page thumbnails"
"naruto-example-2-after.jpg","Naruto","After","Product page thumbnails"
"naruto-example-3-before.jpg","Naruto","Before","Product page thumbnails"
"naruto-example-3-after.jpg","Naruto","After","Product page thumbnails"
"one-piece-primary-before.jpg","One Piece","Before","Product page slider + style card"
"one-piece-primary-after.jpg","One Piece","After","Product page slider + style card"
"one-piece-example-1-before.jpg","One Piece","Before","Product page thumbnails"
"one-piece-example-1-after.jpg","One Piece","After","Product page thumbnails"
"one-piece-example-2-before.jpg","One Piece","Before","Product page thumbnails"
"one-piece-example-2-after.jpg","One Piece","After","Product page thumbnails"
"one-piece-example-3-before.jpg","One Piece","Before","Product page thumbnails"
"one-piece-example-3-after.jpg","One Piece","After","Product page thumbnails"
"one-piece-wanted-poster-primary-before.jpg","Wanted Poster","Before","Product page slider + style card"
"one-piece-wanted-poster-primary-after.jpg","Wanted Poster","After","Product page slider + style card"
"one-piece-wanted-poster-example-1-before.jpg","Wanted Poster","Before","Product page thumbnails"
"one-piece-wanted-poster-example-1-after.jpg","Wanted Poster","After","Product page thumbnails"
"one-piece-wanted-poster-example-2-before.jpg","Wanted Poster","Before","Product page thumbnails"
"one-piece-wanted-poster-example-2-after.jpg","Wanted Poster","After","Product page thumbnails"
"one-piece-wanted-poster-example-3-before.jpg","Wanted Poster","Before","Product page thumbnails"
"one-piece-wanted-poster-example-3-after.jpg","Wanted Poster","After","Product page thumbnails"
"dragon-ball-z-primary-before.jpg","Dragon Ball Z","Before","Product page slider + style card"
"dragon-ball-z-primary-after.jpg","Dragon Ball Z","After","Product page slider + style card"
"dragon-ball-z-example-1-before.jpg","Dragon Ball Z","Before","Product page thumbnails"
"dragon-ball-z-example-1-after.jpg","Dragon Ball Z","After","Product page thumbnails"
"dragon-ball-z-example-2-before.jpg","Dragon Ball Z","Before","Product page thumbnails"
"dragon-ball-z-example-2-after.jpg","Dragon Ball Z","After","Product page thumbnails"
"dragon-ball-z-example-3-before.jpg","Dragon Ball Z","Before","Product page thumbnails"
"dragon-ball-z-example-3-after.jpg","Dragon Ball Z","After","Product page thumbnails"
"demon-slayer-primary-before.jpg","Demon Slayer","Before","Product page slider + style card"
"demon-slayer-primary-after.jpg","Demon Slayer","After","Product page slider + style card"
"demon-slayer-example-1-before.jpg","Demon Slayer","Before","Product page thumbnails"
"demon-slayer-example-1-after.jpg","Demon Slayer","After","Product page thumbnails"
"demon-slayer-example-2-before.jpg","Demon Slayer","Before","Product page thumbnails"
"demon-slayer-example-2-after.jpg","Demon Slayer","After","Product page thumbnails"
"demon-slayer-example-3-before.jpg","Demon Slayer","Before","Product page thumbnails"
"demon-slayer-example-3-after.jpg","Demon Slayer","After","Product page thumbnails"
"jujutsu-kaisen-primary-before.jpg","Jujutsu Kaisen","Before","Product page slider + style card"
"jujutsu-kaisen-primary-after.jpg","Jujutsu Kaisen","After","Product page slider + style card"
"jujutsu-kaisen-example-1-before.jpg","Jujutsu Kaisen","Before","Product page thumbnails"
"jujutsu-kaisen-example-1-after.jpg","Jujutsu Kaisen","After","Product page thumbnails"
"jujutsu-kaisen-example-2-before.jpg","Jujutsu Kaisen","Before","Product page thumbnails"
"jujutsu-kaisen-example-2-after.jpg","Jujutsu Kaisen","After","Product page thumbnails"
"jujutsu-kaisen-example-3-before.jpg","Jujutsu Kaisen","Before","Product page thumbnails"
"jujutsu-kaisen-example-3-after.jpg","Jujutsu Kaisen","After","Product page thumbnails"
"attack-on-titan-primary-before.jpg","Attack on Titan","Before","Product page slider + style card"
"attack-on-titan-primary-after.jpg","Attack on Titan","After","Product page slider + style card"
"attack-on-titan-example-1-before.jpg","Attack on Titan","Before","Product page thumbnails"
"attack-on-titan-example-1-after.jpg","Attack on Titan","After","Product page thumbnails"
"attack-on-titan-example-2-before.jpg","Attack on Titan","Before","Product page thumbnails"
"attack-on-titan-example-2-after.jpg","Attack on Titan","After","Product page thumbnails"
"attack-on-titan-example-3-before.jpg","Attack on Titan","Before","Product page thumbnails"
"attack-on-titan-example-3-after.jpg","Attack on Titan","After","Product page thumbnails"
"ghibli-style-primary-before.jpg","Ghibli Style","Before","Product page slider + style card"
"ghibli-style-primary-after.jpg","Ghibli Style","After","Product page slider + style card"
"ghibli-style-example-1-before.jpg","Ghibli Style","Before","Product page thumbnails"
"ghibli-style-example-1-after.jpg","Ghibli Style","After","Product page thumbnails"
"ghibli-style-example-2-before.jpg","Ghibli Style","Before","Product page thumbnails"
"ghibli-style-example-2-after.jpg","Ghibli Style","After","Product page thumbnails"
"ghibli-style-example-3-before.jpg","Ghibli Style","Before","Product page thumbnails"
"ghibli-style-example-3-after.jpg","Ghibli Style","After","Product page thumbnails"
"pokemon-primary-before.jpg","Pokemon","Before","Product page slider + style card"
"pokemon-primary-after.jpg","Pokemon","After","Product page slider + style card"
"pokemon-example-1-before.jpg","Pokemon","Before","Product page thumbnails"
"pokemon-example-1-after.jpg","Pokemon","After","Product page thumbnails"
"pokemon-example-2-before.jpg","Pokemon","Before","Product page thumbnails"
"pokemon-example-2-after.jpg","Pokemon","After","Product page thumbnails"
"pokemon-example-3-before.jpg","Pokemon","Before","Product page thumbnails"
"pokemon-example-3-after.jpg","Pokemon","After","Product page thumbnails"
"pokemon-trading-card-primary-before.jpg","Trading Card","Before","Product page slider + style card"
"pokemon-trading-card-primary-after.jpg","Trading Card","After","Product page slider + style card"
"pokemon-trading-card-example-1-before.jpg","Trading Card","Before","Product page thumbnails"
"pokemon-trading-card-example-1-after.jpg","Trading Card","After","Product page thumbnails"
"pokemon-trading-card-example-2-before.jpg","Trading Card","Before","Product page thumbnails"
"pokemon-trading-card-example-2-after.jpg","Trading Card","After","Product page thumbnails"
"pokemon-trading-card-example-3-before.jpg","Trading Card","Before","Product page thumbnails"
"pokemon-trading-card-example-3-after.jpg","Trading Card","After","Product page thumbnails"
"my-hero-academia-primary-before.jpg","My Hero Academia","Before","Product page slider + style card"
"my-hero-academia-primary-after.jpg","My Hero Academia","After","Product page slider + style card"
"my-hero-academia-example-1-before.jpg","My Hero Academia","Before","Product page thumbnails"
"my-hero-academia-example-1-after.jpg","My Hero Academia","After","Product page thumbnails"
"my-hero-academia-example-2-before.jpg","My Hero Academia","Before","Product page thumbnails"
"my-hero-academia-example-2-after.jpg","My Hero Academia","After","Product page thumbnails"
"my-hero-academia-example-3-before.jpg","My Hero Academia","Before","Product page thumbnails"
"my-hero-academia-example-3-after.jpg","My Hero Academia","After","Product page thumbnails"
"bleach-primary-before.jpg","Bleach","Before","Product page slider + style card"
"bleach-primary-after.jpg","Bleach","After","Product page slider + style card"
"bleach-example-1-before.jpg","Bleach","Before","Product page thumbnails"
"bleach-example-1-after.jpg","Bleach","After","Product page thumbnails"
"bleach-example-2-before.jpg","Bleach","Before","Product page thumbnails"
"bleach-example-2-after.jpg","Bleach","After","Product page thumbnails"
"bleach-example-3-before.jpg","Bleach","Before","Product page thumbnails"
"bleach-example-3-after.jpg","Bleach","After","Product page thumbnails"
"death-note-primary-before.jpg","Death Note","Before","Product page slider + style card"
"death-note-primary-after.jpg","Death Note","After","Product page slider + style card"
