File name (suggested),Style,Type,Location,File name
review-naruto-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",naruto7
review-naruto-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",naruto2
review-one-piece-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",onepiece6
review-one-piece-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",onepiece7
review-one-piece-wanted-poster-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",wanted3
review-one-piece-wanted-poster-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",wanted5
review-dragon-ball-z-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",dragonball6
review-dragon-ball-z-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",dragonball1
review-demon-slayer-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",demonslayer3
review-demon-slayer-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",demonslayer7
review-jujutsu-kaisen-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",jujutsu5
review-jujutsu-kaisen-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",jujutsu2
review-attack-on-titan-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",titan6
review-attack-on-titan-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",titan2
review-ghibli-style-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",ghibli3
review-ghibli-style-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",ghibli4
review-pokemon-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",pokemon2
review-pokemon-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",pokemon1
review-my-hero-academia-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",academia2
review-my-hero-academia-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",academia3
review-bleach-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",bleach2
review-bleach-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",bleach4
review-death-note-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",note2
review-death-note-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",note3
review-hunter-x-hunter-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",hunter2
review-hunter-x-hunter-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",hunter6
review-spy-x-family-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",spy2
review-spy-x-family-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",spy5
review-sailor-moon-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",moon3
review-sailor-moon-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",moon4
review-one-punch-man-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",punch3
review-one-punch-man-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",punch6
review-solo-leveling-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",solo3
review-solo-leveling-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",solo6
review-bobs-burgers-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",bob1
review-bobs-burgers-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",bob6
review-family-guy-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",guy5
review-family-guy-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",guy4
review-the-simpsons-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",simpson2
review-the-simpsons-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",simpson3
review-south-park-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",park1
review-south-park-03.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",park5
review-rick-and-morty-01.jpg,(see review style field),After (finished portrait),"Reviews — homepage, /reviews, product pages",morty3
